1;index;ROIC;EBIT/EV;EV
INTC;852;0,27603754878706876;0,09605823712452644;228980883456
ABEV3.SA;852;0,597443303900555;0,06263957057273514;254020108288
GSS;856;0,24391652912049044;0,11610248971325993;445490016
TCOM;857;0,3575050709939148;0,07762086834001465;29518479360
ASAI;866;0,2288439876091242;0,1329549481891783;12224065536
URI;867;1,3944679351656095;0,05428102002085764;36453810176
AYI;871;0,39550173010380624;0,07183586723848838;6364508672
CURY3.SA;873;0,2704395898816564;0,09587834065140115;2158209024
CRWS;875;0,24262114537444934;0,1125094215787984;73427184
RDY;877;0,19272930006805009;1,5118602763807827;15548394496
WINA;881;3,290917778955653;0,050914880306329534;804830528
CSCO;882;0,6228950777202072;0,060317620931388594;223226642432
STX;886;0,4844547193877551;0,06440755467843033;23588071424
MET;890;1,0145546705286024;0,05504455562654373;127269625856
KBAL;892;0,23981125231562447;0,10856456579248543;511541216
TGS;897;0,1926328066020103;0,4841819979734609;42396332032
FTI;897;0,2004761422348293;0,20193847811818857;4899759616
TSN;899;0,2804342151061608;0,08786591375972531;36678045696
MDP;899;0,35406223893065997;0,0736715816782435;4602181632
K;901;0,6750478011472275;0,05862675567613139;30109972480
GNE;903;0,27299158844325244;0,08942198548617704;125212496
CTSH;906;0,4738116591928251;0,06383494636442762;41380155392
RRD;914;0,21514614703277238;0,1331180599291302;1824696064
HBB;915;0,22496608840659066;0,11544861800710224;313167456
SBH;916;0,2480060196515665;0,10075271268108635;4210199296
CURO;918;0,22377651504929608;0,11611774063041562;1642509568
EGRX;919;0,3397260431964446;0,07374215375306026;599165440
REYN;921;0,4151854714064915;0,06671444453225404;8052978688
EBR;923;0,19305828889916377;0,2324943838767209;42726768640
MTOR;924;0,23577057793345008;0,10599521969393182;2540208896
CR;924;0,35027011541294917;0,07278548061445261;5879263232
XRX;933;0,21115116857284932;0,13277579587642846;6396120576
LOPE;935;0,6834483977059607;0,05665964563928725;4881644544
BDXB;935;0,2759130251213848;0,08511207205478254;30712446976
ENDP;937;0,33477190947076474;0,07298842781949676;7590597120
DGX;938;0,40300313122687165;0,06644711092514316;21306419200
BABA;944;0,19142614909025818;0,18988891931219257;416760758272
MAS;945;0,4224039558767592;0,06458222827645012;17195132928
ALV;946;0,2569604086845466;0,08908039169926879;9034535936
AMOV;947;0,19102024803865275;0,1850283539319919;699769290752
CAG;948;0,6850027304996814;0,05582357590420978;26963965952
AMX;950;0,19102024803865275;0,1850020528648406;699868774400
KMB;951;0,4500546971147272;0,06242255381447634;52725334016
CL;952;0,9042795492687605;0,05262302087895562;71674904576
MSM;956;0,3381397149063881;0,07150658606000228;5613968896
AMP;960;0,22116827438370848;0,10838315912497751;28558403584
PUMP;964;0,1830840784165953;0,2852599381947823;606353984
IPG;969;0,550964076048904;0,05795260965308687;17651922944
MRK;970;0,6051345046654755;0,056611115241111884;215368482816
ABBV;971;7,7933534743202415;0,04675996697189513;275834241024
HIG;977;0,2506747242431354;0,08820871564176444;24218128384
AAN;980;0,19266716858624205;0,1468612108080747;1228469376
CVS;983;0,40905479105717485;0,06306918551351366;179572637696
HEAR;984;0,2967057348188878;0,07546283018656096;407591392
TSQ;987;0,2596161578794995;0,08351710532971317;773081152
VTRU;992;0,16738988997711246;2,351701570813088;40843476
MAIN;992;75,98494453248811;0,0454283505606929;4221724928
R;994;0,7570715864147239;0,05234030610083904;10492525568
MRFG3.SA;997;0,23999311166449908;0,08838535982303146;34262880256
GORO;999;0,18375616631430586;0,17223423648856395;98405232
BBY;1004;0,30663183863009724;0,07204530126276056;29328769024
ENMT3.SA;1006;0,6242301796211767;0,053787098158194394;13513473024
MMM;1008;0,423061377677695;0,060924615532259335;120263376896
VEDL;1015;0,16674387558902937;0,8082852978315366;207071068160
ENGI3.SA;1019;1,233407878773732;0,04784075057975832;43075604480
EME;1021;0,3235207828101004;0,06849935532373239;6415151616
WNC;1021;0,20694863051784163;0,10691555443270069;1026906240
RIO;1022;0,1909226396783585;0,13199277630802192;104333361152
VALE3.SA;1023;0,2196274211394886;0,09493092575148156;612634918912
MYPS;1024;0,4126810150126212;0,06072457471586861;341020640
JPSA3.SA;1027;0,357518792175426;0,06439981780911028;6065673216
LXFR;1030;0,26091160220994475;0,07860460041425864;600791808
HUM;1032;0,28362696284948297;0,07289560191303926;50795245568
SEE;1033;0,40031671715780776;0,061027310301382774;11909012480
JCTCF;1034;0,19347218945702876;0,11787245289168868;32471234
MIR;1035;0,24487361567676252;0,08218670862103479;186712064
CHRW;1035;0,49204099698694886;0,05624939020723625;14002134016
CLX;1036;0,823632538569425;0,049569288204786635;23694106624
SGH;1037;0,2576058303832016;0,07835115916963771;1163693696
ACY;1040;0,3752998476738227;0,062462646892605306;168821296
CINR;1041;0,18562514998800095;0,13477225144756028;573931200
EC;1044;0,15848133911368184;606,9171769687204;26993111040
LEVE3.SA;1044;0,26836885323853504;0,07579097654559618;4207331328
CAJ;1048;0,1609793562790929;1,5051847528382039;171974901760
CPRI;1050;0,3709508881922675;0,062268114244167276;11402304512
FTDR;1051;0,7768456375838926;0,04933365646089829;4692536832
CW;1051;0,3771677562049738;0,06179587959876361;6222736896
ODP;1052;0,18202191235059761;0,1355129002289531;2697160192
B;1053;0,27824963914510925;0,07274508972612714;2851350528
ANTM;1054;0,3158075096685759;0,06767723463513707;95320088576
QUAD;1060;0,17336487470105022;0,15062735568626368;1106870656
MHH;1062;0,4206521294440126;0,05839093527354035;176088976
ENR;1063;0,3603714423540762;0,06213516936694593;6011490816
PHAR;1064;0,275511228128173;0,07226541673785258;645820672
EVOL;1064;0,2619927536231884;0,07494360832901145;24121470
TM;1067;0,1801781510701132;0,13328722882764618;17732460347392
WFG;1069;0,22936583811344805;0,0843321256527699;8534707200
QSR;1069;0,48485439417576703;0,054542398821404076;34188998656
WTM;1070;0,2678692795650204;0,07337843097590889;3222677248
SAIC;1077;0,9986033519553073;0,04697340158977395;7610690048
OSK;1081;0,2216104225772734;0,08665375558161997;6850828288
ELET3.SA;1083;0,19305828889916377;0,10680170739437814;93011001344
