;0
639;ASTRW
640;ASTS
641;ASTSW
642;ASUR
643;ASX
644;ASXC
645;ASYS
646;ASZ
647;ATA
648;ATAI
649;ATAQ
650;ATAX
651;ATC
652;ATCO
653;ATCO^D
654;ATCO^H
655;ATCO^I
656;ATCOL
657;ATCX
658;ATEC
659;ATEN
660;ATER
661;ATEX
662;ATGE
663;ATH
664;ATH^A
665;ATH^B
666;ATH^C
667;ATH^D
668;ATHA
669;ATHE
670;ATHM
671;ATHN
672;ATHX
673;ATI
674;ATIF
675;ATIP
676;ATKR
677;ATLC
678;ATLCP
679;ATLO
680;ATMR
681;ATNF
682;ATNFW
683;ATNI
684;ATNM
685;ATNX
686;ATO
687;ATOM
688;ATOS
689;ATR
690;ATRA
691;ATRC
692;ATRI
693;ATRO
694;ATRS
695;ATSG
696;ATSPT
697;ATSPU
698;ATSPW
699;ATTO
700;ATUS
701;ATVC
702;ATVCU
703;ATVCW
704;ATVI
705;ATXI
706;ATXS
707;ATY
708;AU
709;AUB
710;AUBAP
711;AUBN
712;AUD
713;AUDC
714;AUGX
715;AUID
716;AUMN
717;AUPH
718;AURA
719;AURC
720;AURCU
721;AURCW
722;AUS
723;AUTL
724;AUTO
725;AUUD
726;AUUDW
727;AUVI
728;AUVIP
729;AUY
730;AVA
731;AVACU
732;AVAH
733;AVAL
734;AVAN
735;AVAV
736;AVB
737;AVCO
738;AVCT
739;AVCTW
740;AVD
741;AVDL
742;AVDX
743;AVEO
744;AVGO
745;AVGOP
746;AVGR
747;AVHIU
748;AVID
749;AVIR
750;AVK
751;AVLR
752;AVNS
753;AVNT
754;AVNW
755;AVO
756;AVPT
757;AVPTW
758;AVRO
759;AVT
760;AVTE
761;AVTR
762;AVTR^A
763;AVTX
764;AVXL
765;AVY
766;AVYA
767;AWF
768;AWH
769;AWI
770;AWK
771;AWP
772;AWR
773;AWRE
774;AWX
775;AX
776;AXDX
777;AXGN
778;AXL
779;AXLA
780;AXNX
781;AXON
782;AXP
783;AXR
784;AXS
785;AXS^E
786;AXSM
787;AXTA
788;AXTI
789;AXU
790;AY
791;AYI
792;AYLA
793;AYRO
794;AYTU
795;AYX
796;AZEK
797;AZN
798;AZO
799;AZPN
800;AZRE
801;AZUL
802;AZYO
803;AZZ
804;B
805;BA
806;BABA
807;BAC
808;BAC^B
809;BAC^E
810;BAC^K
811;BAC^L
812;BAC^M
813;BAC^N
814;BAC^O
815;BAC^P
816;BAC^Q
817;BAH
818;BAK
819;BALY
820;BAM
821;BAMH
822;BAMI
823;BAMR
824;BANC
825;BANC^E
826;BAND
827;BANF
828;BANR
829;BANX
830;BAOS
831;BAP
832;BARK
833;BASE
834;BATL
835;BATRA
836;BATRK
837;BAX
838;BB
839;BBAR
840;BBBY
841;BBCP
842;BBD
843;BBDC
844;BBDO
845;BBGI
846;BBI
847;BBIG
848;BBIO
849;BBL
850;BBLG
851;BBLGW
852;BBLN
853;BBN
854;BBQ
855;BBSI
856;BBU
857;BBVA
858;BBW
859;BBWI
860;BBY
861;BC
862;BC^A
863;BC^B
864;BC^C
865;BCAB
866;BCAC
867;BCACU
868;BCACW
869;BCAT
870;BCBP
871;BCC
872;BCDA
873;BCDAW
874;BCE
875;BCEL
876;BCH
877;BCLI
878;BCML
879;BCO
880;BCOR
881;BCOV
882;BCOW
883;BCPC
884;BCRX
885;BCS
886;BCSF
887;BCTX
888;BCTXW
889;BCV
890;BCV^A
891;BCX
892;BCYC
893;BDC
894;BDJ
895;BDL
896;BDN
897;BDR
898;BDSI
899;BDSX
900;BDTX
901;BDX
902;BDXB
903;BE
904;BEAM
905;BECN
906;BEDU
907;BEEM
908;BEEMW
909;BEKE
910;BELFA
911;BELFB
912;BEN
913;BENE
914;BENER
915;BENEU
916;BENEW
917;BEP
918;BEP^A
919;BEPC
920;BEPH
921;BERY
922;BEST
923;BF/A
924;BF/B
925;BFAM
926;BFC
927;BFI
928;BFIIW
929;BFIN
930;BFK
931;BFLY
932;BFRA
933;BFRI
934;BFRIW
935;BFS
936;BFS^D
937;BFS^E
938;BFST
939;BFZ
940;BG
941;BGB
942;BGCP
943;BGFV
944;BGH
945;BGI
946;BGIO
947;BGNE
948;BGR
949;BGRY
950;BGRYW
951;BGS
952;BGSF
953;BGSX
954;BGT
955;BGX
956;BGY
957;BH
958;BHACU
959;BHAT
960;BHB
961;BHC
962;BHE
963;BHF
964;BHFAL
965;BHFAN
966;BHFAO
967;BHFAP
968;BHG
969;BHIL
970;BHK
971;BHLB
972;BHP
973;BHR
974;BHR^B
975;BHR^D
976;BHSE
977;BHSEW
978;BHTG
979;BHV
980;BHVN
981;BIDU
982;BIF
983;BIG
984;BIGC
985;BIGZ
986;BIIB
987;BILI
988;BILL
989;BIMI
990;BIO
991;BIO/B
992;BIOC
993;BIOL
994;BIOT
995;BIOTU
996;BIOTW
997;BIOX
998;BIP
999;BIP^A
1000;BIP^B
1001;BIPC
1002;BIPH
1003;BIT
1004;BITE
1005;BITF
1006;BIVI
1007;BJ
1008;BJRI
1009;BK
1010;BKCC
1011;BKD
1012;BKE
1013;BKEP
1014;BKEPP
1015;BKH
1016;BKI
1017;BKKT
1018;BKN
1019;BKNG
1020;BKR
1021;BKSC
1022;BKSY
1023;BKT
1024;BKTI
1025;BKU
1026;BKYI
1027;BL
1028;BLBD
1029;BLCM
1030;BLCT
1031;BLD
1032;BLDE
1033;BLDEW
1034;BLDP
1035;BLDR
1036;BLE
1037;BLFS
1038;BLFY
1039;BLI
1040;BLIN
1041;BLK
1042;BLKB
1043;BLL
1044;BLMN
1045;BLND
1046;BLNG
1047;BLNGU
1048;BLNGW
1049;BLNK
1050;BLNKW
1051;BLPH
1052;BLRX
1053;BLSA
1054;BLTS
1055;BLTSU
1056;BLTSW
1057;BLU
1058;BLUA
1059;BLUE
1060;BLW
1061;BLX
1062;BMA
1063;BMAQU
1064;BMBL
1065;BME
1066;BMEA
1067;BMEZ
1068;BMI
1069;BML^G
1070;BML^H
1071;BML^J
1072;BML^L
1073;BMO
1074;BMRA
1075;BMRC
1076;BMRN
1077;BMTC
1078;BMTX
1079;BMY
1080;BNED
1081;BNFT
1082;BNGO
1083;BNGOW
1084;BNIX
1085;BNIXR
1086;BNIXW
1087;BNL
1088;BNNR
1089;BNNRU
1090;BNNRW
1091;BNR
1092;BNS
1093;BNSO
1094;BNTC
1095;BNTX
1096;BNY
1097;BOAC
1098;BOAS
1099;BODY
1100;BOE
1101;BOH
1102;BOH^A
1103;BOKF
1104;BOLT
1105;BOMN
1106;BON
1107;BOOM
1108;BOOT
1109;BORR
1110;BOSC
1111;BOTJ
1112;BOX
1113;BOXL
1114;BP
1115;BPMC
1116;BPMP
1117;BPOP
1118;BPOPM
1119;BPRN
1120;BPT
1121;BPTH
1122;BPTS
1123;BPYPM
1124;BPYPN
1125;BPYPO
1126;BPYPP
1127;BQ
1128;BR
1129;BRAG
1130;BRBR
1131;BRBS
1132;BRC
1133;BRCN
1134;BRDG
1135;BREZ
1136;BREZR
1137;BREZW
1138;BRFS
1139;BRG
1140;BRG^C
1141;BRG^D
1142;BRID
1143;BRIV
1144;BRIVU
1145;BRIVW
1146;BRK/A
1147;BRK/B
1148;BRKL
1149;BRKR
1150;BRKS
1151;BRLI
1152;BRLIU
1153;BRLIW
1154;BRLT
1155;BRMK
1156;BRN
1157;BRO
1158;BROG
1159;BROGW
1160;BROS
1161;BRP
1162;BRPM
1163;BRPMU
1164;BRPMW
1165;BRQS
1166;BRSP
1167;BRT
1168;BRW
1169;BRX
1170;BRY
1171;BSA
1172;BSAC
1173;BSAQ
1174;BSBK
1175;BSBR
1176;BSET
1177;BSFC
1178;BSGA
1179;BSGAR
1180;BSGM
1181;BSIG
1182;BSKY
1183;BSKYU
1184;BSKYW
1185;BSL
1186;BSM
1187;BSMX
1188;BSN
